"","avg_temp","full_date","year","date","tooltip"
"155",27.2,"July 03, 1877",1877,"07-03","July 03, 1877 :  27.2 ° C"
"156",28.6,"July 04, 1877",1877,"07-04","July 04, 1877 :  28.6 ° C"
"157",28.1,"July 05, 1877",1877,"07-05","July 05, 1877 :  28.1 ° C"
"158",21.8,"July 06, 1877",1877,"07-06","July 06, 1877 :  21.8 ° C"
"159",18.2,"July 07, 1877",1877,"07-07","July 07, 1877 :  18.2 ° C"
"160",22.9,"July 08, 1877",1877,"07-08","July 08, 1877 :  22.9 ° C"
"161",26.8,"July 09, 1877",1877,"07-09","July 09, 1877 :  26.8 ° C"
"162",26.7,"July 10, 1877",1877,"07-10","July 10, 1877 :  26.7 ° C"
"163",23.6,"July 11, 1877",1877,"07-11","July 11, 1877 :  23.6 ° C"
"164",26.4,"July 12, 1877",1877,"07-12","July 12, 1877 :  26.4 ° C"
"165",28.1,"July 13, 1877",1877,"07-13","July 13, 1877 :  28.1 ° C"
"166",27.9,"July 14, 1877",1877,"07-14","July 14, 1877 :  27.9 ° C"
"167",27.3,"July 15, 1877",1877,"07-15","July 15, 1877 :  27.3 ° C"
"168",27.1,"July 16, 1877",1877,"07-16","July 16, 1877 :  27.1 ° C"
"169",26.9,"July 17, 1877",1877,"07-17","July 17, 1877 :  26.9 ° C"
"170",26.3,"July 18, 1877",1877,"07-18","July 18, 1877 :  26.3 ° C"
"171",27.6,"July 19, 1877",1877,"07-19","July 19, 1877 :  27.6 ° C"
"172",28.2,"July 20, 1877",1877,"07-20","July 20, 1877 :  28.2 ° C"
"173",28.5,"July 21, 1877",1877,"07-21","July 21, 1877 :  28.5 ° C"
"174",26.9,"July 22, 1877",1877,"07-22","July 22, 1877 :  26.9 ° C"
"175",27,"July 23, 1877",1877,"07-23","July 23, 1877 :  27 ° C"
"176",26.9,"July 24, 1877",1877,"07-24","July 24, 1877 :  26.9 ° C"
"177",27.8,"July 25, 1877",1877,"07-25","July 25, 1877 :  27.8 ° C"
"178",24.8,"July 26, 1877",1877,"07-26","July 26, 1877 :  24.8 ° C"
"179",25.9,"July 27, 1877",1877,"07-27","July 27, 1877 :  25.9 ° C"
"180",27.4,"July 28, 1877",1877,"07-28","July 28, 1877 :  27.4 ° C"
"181",27.5,"July 29, 1877",1877,"07-29","July 29, 1877 :  27.5 ° C"
"182",27.4,"July 30, 1877",1877,"07-30","July 30, 1877 :  27.4 ° C"
"183",26.6,"July 31, 1877",1877,"07-31","July 31, 1877 :  26.6 ° C"
"184",26.3,"August 01, 1877",1877,"08-01","August 01, 1877 :  26.3 ° C"
"185",26.3,"August 02, 1877",1877,"08-02","August 02, 1877 :  26.3 ° C"
